Date,Close,daily_articles
2019-01-02,227.63751220703125,1
2019-01-03,222.2053985595703,1
2019-01-04,229.64833068847656,1
2019-01-07,231.4590759277344,4
2019-01-08,233.63368225097656,1
2019-01-09,234.72555541992188,1
2019-01-10,235.5535888671875,1
2019-01-14,234.2069396972656,1
2019-01-15,236.89112854003903,2
2019-01-16,237.4643402099609,1
2019-01-17,239.26593017578125,2
2019-01-18,242.45054626464844,1
2019-01-22,239.17495727539065,1
2019-01-24,239.80276489257807,3
2019-01-28,239.99386596679688,2
2019-01-29,239.67539978027344,4
2019-01-30,243.46961975097656,2
2019-02-04,247.45497131347656,1
2019-02-06,248.16470336914065,1
2019-02-07,245.7990264892578,1
2019-02-11,246.2357482910156,4
2019-02-12,249.40216064453125,2
2019-02-13,250.21194458007807,1
2019-02-14,249.656967163086,2
2019-02-19,252.81431579589844,3
2019-02-20,253.3238220214844,3
2019-02-21,252.4230194091797,2
2019-02-22,253.98806762695312,2
2019-02-25,254.333724975586,2
2019-02-27,254.04263305664065,2
2019-03-01,255.1527099609375,1
2019-03-04,254.2245941162109,4
2019-03-05,253.8788299560547,1
2019-03-07,250.2301177978516,1
2019-03-11,253.35110473632807,2
2019-03-14,255.82601928710932,2
2019-03-15,257.08990478515625,2
2019-03-18,258.0221252441406,3
2019-03-20,257.3092956542969,1
2019-03-21,260.21551513671875,2
2019-03-25,255.0154266357422,3
2019-03-26,256.9163513183594,1
2019-03-28,256.5415954589844,2
2019-03-29,258.15924072265625,2
2019-04-01,261.220703125,1
2019-04-02,261.3487854003906,1
2019-04-04,262.4546203613281,1
2019-04-05,263.7248840332031,1
2019-04-08,263.92596435546875,1
2019-04-09,262.5733947753906,1
2019-04-10,263.4689636230469,2
2019-04-11,263.3958740234375,1
2019-04-12,265.177978515625,1
2019-04-15,265.0043640136719,2
2019-04-16,265.177978515625,1
2019-04-22,265.2785339355469,1
2019-04-23,267.663818359375,3
2019-04-24,267.0697631835937,1
2019-04-25,266.9052734375,1
2019-04-29,268.5685729980469,2
2019-05-01,266.6859741210937,1
2019-05-06,267.6090087890625,1
2019-05-07,263.1400146484375,3
2019-05-08,262.7744140625,2
2019-05-09,261.9793701171875,2
2019-05-13,256.6786193847656,3
2019-05-14,259,2
2019-05-15,260.5170593261719,1
2019-05-20,259.502685546875,1
2019-05-22,261.0379943847656,4
2019-05-23,257.8485107421875,1
2019-05-24,258.433349609375,4
2019-05-28,256.02984619140625,1
2019-06-03,250.9302520751953,2
2019-06-04,256.3770446777344,2
2019-06-05,258.597900390625,1
2019-06-06,260.27947998046875,3
2019-06-07,262.8841552734375,1
2019-06-10,264.09033203125,2
2019-06-11,264.0264892578125,2
2019-06-12,263.56036376953125,2
2019-06-14,264.3555603027344,1
2019-06-19,267.82830810546875,2
2019-06-20,270.3871765136719,3
2019-06-24,269.6636047363281,3
2019-06-25,267.0187072753906,3
2019-06-26,266.75244140625,1
2019-06-27,267.6983337402344,1
2019-06-28,269.07586669921875,1
2019-07-01,271.5185852050781,1
2019-07-02,272.2257385253906,2
2019-07-05,274.0901184082031,2
2019-07-08,272.583984375,4
2019-07-09,272.9237670898437,2
2019-07-10,274.2277526855469,5
2019-07-11,274.8705444335937,3
2019-07-12,276.1012268066406,1
2019-07-15,276.19305419921875,4
2019-07-17,273.4288024902344,2
2019-07-18,274.4297180175781,2
2019-07-19,272.9054260253906,5
2019-07-22,273.5757141113281,3
2019-07-23,275.5318298339844,5
2019-07-25,275.5043029785156,1
2019-07-31,273.1441345214844,2
2019-08-02,268.726806640625,1
2019-08-05,260.6453857421875,2
2019-08-06,264.3004455566406,2
2019-08-07,264.45654296875,2
2019-08-08,269.645263671875,2
2019-08-09,267.8085327148437,2
2019-08-12,264.54840087890625,1
2019-08-13,268.6625366210937,1
2019-08-19,268.4605407714844,1
2019-08-22,268.4880676269531,3
2019-08-23,261.5912780761719,1
2019-08-28,265.3014221191406,1
2019-08-30,268.5707702636719,1
2019-09-03,267.0004272460937,2
2019-09-04,270.0309143066406,3
2019-09-05,273.50225830078125,3
2019-09-06,273.71356201171875,3
2019-09-09,273.85125732421875,1
2019-09-10,273.78692626953125,2
2019-09-11,275.7338256835937,1
2019-09-12,276.6889343261719,1
2019-09-13,276.5053405761719,1
2019-09-16,275.651123046875,2
2019-09-17,276.34918212890625,2
2019-09-18,276.51446533203125,1
2019-09-19,276.4960632324219,2
2019-09-20,275.189697265625,1
2019-09-23,275.1250305175781,1
2019-09-24,272.9662780761719,1
2019-09-25,274.5807800292969,1
2019-09-27,272.5326538085937,1
2019-10-01,270.5398864746094,3
2019-10-04,271.5639038085937,1
2019-10-08,266.19439697265625,3
2019-10-09,268.72235107421875,2
2019-10-14,273.04010009765625,1
2019-10-15,275.7432556152344,2
